"","species","color_desc","Hue","Lightness","Saturation"
"39","Celtis_australis","black",300,5.76330845397023,1.074
"40","Chaetacme_aristata","yellow",752,2.76518560541818,2.27277127626501
"41","Chamaerops_humilis","yellow",660,6.5874122642908,3.697
"43","Chrysophyllum_lucentifolium","yellow",772,2.4897640641953,2.95755730430545
"45","Cissampelos_pareira","red",660,6.32802606545775,2.12
"50","Cordia_verbenacea","red",660,7.77485996833737,1.44
"51","Corema_album","white",660,7.7299550874567,1.645
"52","Coriaria_myrtifolia","black",300,5.03500265054455,1.367
"53","Cornus_sanguinea","black",695,5.77579301063247,1.502
"54","Cotoneaster_granatensis","red",660,6.2532517220144,2.415
"55","Coussapoa_microcarpa","yellow",580,6.21947622981905,1.61
"56","Crataegus_laciniata","red",655,6.63213352102272,5.578
"57","Crataegus_monogyna","red",655,7.04507946984536,3.365
"60","Daphne_gnidium","red",635,7.01867033955329,3.378
"61","Daphne_laureola","black",695,5.98946254443731,0.841
"62","Daphne_oleoides","red",615,7.05617528410041,2.807
"63","Dasylepis_eggelingii","red",776,2.78193165950839,1.95289528372349
"64","Dendrobangia_boliviana","brown",772,2.57523939535344,2.69501392223933
"65","Diospyros_matherana","brown",700,2.42733712204054,2.41555168631813
"66","Diploon_cuspidata","black",772,1.03306436937069,3.86557400874067
"68","Drypetes_variabilis","yellow",752,2.43443209908572,2.23938287389605
"69","Duguetia_cf._surinamensis","green",560,1.63699957609027,2.36997115604434
"70","Duroia_eriopila","green",632,2.16370513655492,1.64678441859864
"71","Dussia_discolor","yellow",772,2.87653526996594,2.49184277096529
"72","Ecclinusa_lanceolata","yellow",772,2.93302851265841,2.41610517928852
"73","Ehretia_cymosa","black",756,2.50752801313079,2.25178316109348
"74","Erythroxylum_amplifolium","red",660,5.90148513348846,2.74
"75","Eschweilera_grandiflora","red",698,2.17280190516051,3.19618589984553
"76","Eugenia_cuprea","red",660,6.23191742394475,2.24
"77","Eugenia_sp.","orange",660,6.44500527844771,1.78
"78","Eugenia_sulcata","red",695,5.0630379728893,0.68
"79","Euonymus_europaeus","orange",660,6.9066546735381,4.303
"80","Euterpe_edulis","black",695,5.39403655360658,4.1
"82","Ficus_brachylepis","green",776,2.59451562793509,1.74161320677217
"83","Ficus_carica","brown",660,6.17565934828362,1.393
"84","Ficus_insipida","green",550,6.40880881774622,2.06
"85","Ficus_mucuso","orange",776,2.70813380871811,2.25386710722242
"86","Ficus_nymphaeifolia","green",560,2.54305762643003,1.69934740732005
"87","Ficus_organensis","green",660,5.84915185433326,2.8
"89","Fragaria_vesca","red",645,5.93674433490775,4.37
"90","Frangula_alnus","black",425,6.24086046956626,1.169
"91","Garcinia_gardneriana","yellow",600,6.67691971988255,2.04
"92","Gaylussacia_brasiliensis","black",695,4.66475897739975,0.88
"93","Geonoma_gamiova","black",600,4.8078661020332,0.22
"94","Geonoma_pauciflora","black",695,5.37754435699934,0.96
"95","Geonoma_schottiana","black",695,5.18475665432487,1.83
"96","Geophila_repens","red",610,5.54930952068199,2.64
"97","Glycydendron_amazonicum","green",662,2.20580372040502,2.51104176282035
"100","Guapira_opposita","black",580,4.87534998330373,2.26
"101","Guarea_macrophylla","red",660,7.24498437197244,3.23
"102","Guatteria_australis","black",695,5.48608241396043,1.19
"103","Gustavia_hexapetala","yellow",748,2.18324396914843,3.02080457762679
"105","Hedera_helix","black",695,5.66087497364492,0.29
"106","Heisteria_silvianii","white",510,6.8998440677108,1.33
"107","Helicostylis_pedunculata","yellow",752,1.81775001962042,2.80324943822962
"108","Hymenaea_courbaril","brown",772,1.71156345119197,2.16153622161175
"109","Ilex_amara","black",695,4.33020688594408,2.36
"110","Ilex_aquifolium","red",660,6.6631326959908,5.329
"111","Inga_cf._capitata","green",756,2.15835669082119,2.22926220702561
"112","Inga_cf._crassiflora","green",772,1.38807333336557,3.48537742519569
"113","Inga_gracilifolia","green",776,2.52695407497948,2.08963409230573
"115","Inga_leiocalycina","green",556,1.10666312685782,2.13102422088121
"116","Inga_pezzizifera","green",772,1.86766285247578,2.46819554621784
"117","Inga_rubiginosa","green",604,1.70327655551369,2.51742903769862
"118","Inga_thibaudiana","green",632,1.46724874100608,2.37190803991963
"119","Iris_foetidissima","orange",660,7.0605621992259,4.656
"120","Iryanthera_sagotiana","green",764,1.8102677543227,3.07593219909489
